Rat_ID,Group,Intervention,Recording_Time_Point,Phase,Zeitgeber_Time,Sleep
15,VC,NPR,BL,LIGHT,6,3320
15,VC,NPR,BL,LIGHT,7,2780
15,VC,NPR,BL,LIGHT,8,2210
15,VC,NPR,BL,LIGHT,9,3060
15,VC,NPR,BL,LIGHT,10,2390
15,VC,NPR,BL,LIGHT,11,3300
15,VC,NPR,BL,LIGHT,12,1880
15,VC,NPR,BL,DARK,13,370
15,VC,NPR,BL,DARK,14,1640
15,VC,NPR,BL,DARK,15,1100
15,VC,NPR,BL,DARK,16,860
15,VC,NPR,BL,DARK,17,190
15,VC,NPR,BL,DARK,18,1310
15,VC,NPR,BL,DARK,19,1140
15,VC,NPR,BL,DARK,20,1780
15,VC,NPR,BL,DARK,21,1770
15,VC,NPR,BL,DARK,22,1220
15,VC,NPR,BL,DARK,23,930
15,VC,NPR,BL,DARK,24,1790
16,VC,NPR,BL,LIGHT,1,3210
16,VC,NPR,BL,LIGHT,2,3410
16,VC,NPR,BL,LIGHT,3,2990
16,VC,NPR,BL,LIGHT,4,1740
16,VC,NPR,BL,LIGHT,5,3370
16,VC,NPR,BL,LIGHT,6,3210
16,VC,NPR,BL,LIGHT,7,3320
16,VC,NPR,BL,LIGHT,8,3180
16,VC,NPR,BL,LIGHT,9,3110
16,VC,NPR,BL,LIGHT,10,2170
16,VC,NPR,BL,LIGHT,11,3350
16,VC,NPR,BL,LIGHT,12,1890
16,VC,NPR,BL,DARK,13,1160
16,VC,NPR,BL,DARK,14,1670
16,VC,NPR,BL,DARK,15,1520
16,VC,NPR,BL,DARK,16,1420
16,VC,NPR,BL,DARK,17,820
16,VC,NPR,BL,DARK,18,380
16,VC,NPR,BL,DARK,19,1690
16,VC,NPR,BL,DARK,20,1550
16,VC,NPR,BL,DARK,21,660
16,VC,NPR,BL,DARK,22,400
16,VC,NPR,BL,DARK,23,1530
16,VC,NPR,BL,DARK,24,1490
17,VSL,NPR,BL,LIGHT,1,3290
17,VSL,NPR,BL,LIGHT,2,2630
17,VSL,NPR,BL,LIGHT,3,3110
17,VSL,NPR,BL,LIGHT,4,3440
17,VSL,NPR,BL,LIGHT,5,3400
17,VSL,NPR,BL,LIGHT,6,3430
17,VSL,NPR,BL,LIGHT,7,2350
17,VSL,NPR,BL,LIGHT,8,3450
17,VSL,NPR,BL,LIGHT,9,3070
17,VSL,NPR,BL,LIGHT,10,3350
17,VSL,NPR,BL,LIGHT,11,3410
17,VSL,NPR,BL,LIGHT,12,2760
17,VSL,NPR,BL,DARK,13,1310
17,VSL,NPR,BL,DARK,14,1650
17,VSL,NPR,BL,DARK,15,1470
17,VSL,NPR,BL,DARK,16,1500
17,VSL,NPR,BL,DARK,17,1890
17,VSL,NPR,BL,DARK,18,1190
17,VSL,NPR,BL,DARK,19,1700
17,VSL,NPR,BL,DARK,20,1500
17,VSL,NPR,BL,DARK,21,2540
17,VSL,NPR,BL,DARK,22,1590
17,VSL,NPR,BL,DARK,23,2080
17,VSL,NPR,BL,DARK,24,2210
18,VSL,NPR,BL,LIGHT,1,2680
18,VSL,NPR,BL,LIGHT,2,2930
18,VSL,NPR,BL,LIGHT,3,2650
18,VSL,NPR,BL,LIGHT,4,2630
18,VSL,NPR,BL,LIGHT,5,3430
18,VSL,NPR,BL,LIGHT,6,3110
18,VSL,NPR,BL,LIGHT,7,2100
18,VSL,NPR,BL,LIGHT,8,3350
18,VSL,NPR,BL,LIGHT,9,3240
18,VSL,NPR,BL,LIGHT,10,3020
18,VSL,NPR,BL,LIGHT,11,3060
18,VSL,NPR,BL,LIGHT,12,3240
18,VSL,NPR,BL,DARK,13,2160
18,VSL,NPR,BL,DARK,14,2860
18,VSL,NPR,BL,DARK,15,2440
18,VSL,NPR,BL,DARK,16,1650
18,VSL,NPR,BL,DARK,17,900
18,VSL,NPR,BL,DARK,18,2340
18,VSL,NPR,BL,DARK,19,2630
18,VSL,NPR,BL,DARK,20,880
18,VSL,NPR,BL,DARK,21,1220
18,VSL,NPR,BL,DARK,22,1970
18,VSL,NPR,BL,DARK,23,1340
18,VSL,NPR,BL,DARK,24,370
19,VSL,NPR,BL,LIGHT,1,3310
19,VSL,NPR,BL,LIGHT,2,3350
19,VSL,NPR,BL,LIGHT,3,3490
19,VSL,NPR,BL,LIGHT,4,3200
19,VSL,NPR,BL,LIGHT,5,3560
19,VSL,NPR,BL,LIGHT,6,3280
19,VSL,NPR,BL,LIGHT,7,3460
19,VSL,NPR,BL,LIGHT,8,2470
19,VSL,NPR,BL,LIGHT,9,3000
19,VSL,NPR,BL,LIGHT,10,3490
19,VSL,NPR,BL,LIGHT,11,3110
19,VSL,NPR,BL,LIGHT,12,3150
19,VSL,NPR,BL,DARK,13,2160
19,VSL,NPR,BL,DARK,14,2730
19,VSL,NPR,BL,DARK,15,2510
19,VSL,NPR,BL,DARK,16,2510
19,VSL,NPR,BL,DARK,17,2120
19,VSL,NPR,BL,DARK,18,2470
19,VSL,NPR,BL,DARK,19,2210
19,VSL,NPR,BL,DARK,20,2620
